Radius,BStrength,ApexHeight,OrientationCme,iHelicity,restartdir,realization
0.4875,19.90647436,0.549960938,184.25,-1,12,4
0.6375,16.06053922,0.647460938,211.25,1,12,4
0.5625,19.15161111,0.697851563,229.25,-1,12,4
0.7375,15.33148305,0.721367188,170.75,-1,12,4
0.3625,32.66525862,0.436132812,197.75,-1,12,4
0.4625,26.7575,0.443710938,224.75,1,12,4
0.7625,16.93053279,0.874492188,215.75,-1,12,4
0.6125,21.94892857,0.553164063,188.75,1,12,4
0.4375,31.9495,0.468945312,166.25,-1,12,4
0.6625,5.778632075,0.734960938,175.25,1,4,9
0.5375,8.116337209,0.555976563,238.25,1,4,9
0.3875,12.63669355,0.364492187,179.75,1,4,9
0.7125,7.622324561,0.870585937,206.75,1,4,9
0.3125,19.0883,0.340820313,220.25,-1,4,9
0.5875,11.06260638,0.695820312,161.75,-1,4,9
0.5125,13.72384146,0.453242187,202.25,1,4,9
0.7875,9.609722222,0.829335938,193.25,1,4,9
0.6875,11.7845,0.633789063,233.75,1,4,9
0.4125,20.93583333,0.480820312,242.75,-1,4,9
0.3375,27.17101852,0.336445312,157.25,-1,4,9
0.4875,19.90647436,0.549960938,184.25,-1,4,9
0.6375,16.06053922,0.647460938,211.25,1,4,9
0.5625,19.15161111,0.697851563,229.25,-1,4,9
0.7375,15.33148305,0.721367188,170.75,-1,4,9
0.3625,32.66525862,0.436132812,197.75,-1,4,9
0.4625,26.7575,0.443710938,224.75,1,4,9
0.7625,16.93053279,0.874492188,215.75,-1,4,9
0.6125,21.94892857,0.553164063,188.75,1,4,9
0.4375,31.9495,0.468945312,166.25,-1,4,9
0.6625,5.778632075,0.734960938,175.25,1,12,5
0.5375,8.116337209,0.555976563,238.25,1,12,5
0.3875,12.63669355,0.364492187,179.75,1,12,5
0.7125,7.622324561,0.870585937,206.75,1,12,5
0.3125,19.0883,0.340820313,220.25,-1,12,5
0.5875,11.06260638,0.695820312,161.75,-1,12,5
0.5125,13.72384146,0.453242187,202.25,1,12,5
0.7875,9.609722222,0.829335938,193.25,1,12,5
0.6875,11.7845,0.633789063,233.75,1,12,5
0.4125,20.93583333,0.480820312,242.75,-1,12,5
0.3375,27.17101852,0.336445312,157.25,-1,12,5
0.4875,19.90647436,0.549960938,184.25,-1,12,5
0.6375,16.06053922,0.647460938,211.25,1,12,5
0.5625,19.15161111,0.697851563,229.25,-1,12,5
0.7375,15.33148305,0.721367188,170.75,-1,12,5
0.3625,32.66525862,0.436132812,197.75,-1,12,5
0.4625,26.7575,0.443710938,224.75,1,12,5
0.7625,16.93053279,0.874492188,215.75,-1,12,5
0.6125,21.94892857,0.553164063,188.75,1,12,5
0.4375,31.9495,0.468945312,166.25,-1,12,5
